"";"common.name";"clutch.size";"latin";"size.cm";"wingspan.cm";"weight.g"
"1";"Barred Owl";"3";"Strix varia";"54";120;720
"2";"Long-eared Owl";"5.5";"Asio otus";"36";100;260
"3";"Northern Hawk Owl";"5";"Surnia ulula";"38.5";70;320
"4";"Northern Pygmy Owl";"4.5";"Glaucididium gnoma";"18.5";30;70
"5";"Northern Saw-whet Owl";"5.5";"Aegolius acadicus";"18.5";40;80
"6";"Short-eared Owl";"4.5";"Asio flammeus";"37";100;350
"7";"Spotted Owl";"2.5";"Strix occidentalis";"43.5";110;610
"8";"Barn Owl";NA;"Tyto alba";"43";110;460
"9";"Great Grey Owl";NA;"Strix nebulosa";"71";145;1080
"10";"Boreal Owl";NA;"Aegolius funereus";"25";50;135
"11";"Burrowing Owl";NA;"Athene cunicularia";"25";60;155
"12";"Flammulated Owl";NA;"Otus flammeolus";"16";40;60
"13";"Great Horned Owl";NA;"Bubo virginianus";"52";110;1400
"14";"Snowy Owl";NA;"Nyctea scandiaca";"58.5";130;1830
