Modele;CYL;PUISS;LONG;LARG;POIDS;V-MAX;FINITION;PRIX;R-POID.PUIS
Alfasud TI;1350;79;393;161;870;165;B;30570;11,01
Audi 100;1588;85;468;177;1110;160;TB;39990;13,06
Simca 1300;1294;68;424;168;1050;152;M;29600;15,44
Citroen GS Club;1222;59;412;161;930;151;M;28250;15,76
Fiat 132;1585;98;439;164;1105;165;B;34900;11,28
Lancia Beta;1297;82;429;169;1080;160;TB;35480;13,17
Peugeot 504;1796;79;449;169;1160;154;B;32300;14,68
Renault 16 TL;1565;55;424;163;1010;140;B;32000;18,36
Renault 30;2664;128;452;173;1320;180;TB;47700;10,31
Toyota Corolla;1166;55;399;157;815;140;M;26540;14,82
Alfetta-1.66;1570;109;428;162;1060;175;TB;42395;9,72
Princess-1800;1798;82;445;172;1160;158;B;33990;14,15
Datsun-200L;1998;115;469;169;1370;160;TB;43980;11,91
Taunus-2000;1993;98;438;170;1080;167;B;35010;11,02
Rancho;1442;80;431;166;1129;144;TB;39450;14,11
Mazda-9295;1769;83;440;165;1095;165;M;27900;13,19
Opel-Rekord;1979;100;459;173;1120;173;B;32700;11,20
Lada-1300;1294;68;404;161;955;140;M;22100;14,04
